Ticker,note,empty
NASDAQ100,Nasdaq 100 comp,
WILL5000INDFC,Wilshire 5000 ttl mkt,
NASDAQCOM,Nasdaq comp,
VXNCLS,CBOE nasdaq 100 vix,
DJIA,Dow Jones Ind Ave,
RU2000PR,Russell 2000,
RVXCLS,CBOE Russell 2000 VIX,
BAMLEMCBPIOAS,ICE BofAML em mkt co plus index option adj spread,
BAMLH0A0HYM2,ICE BofAML US high yield master 2 option adj spread,
VXVCLS,CBOE SP 500 3month vix,
T10Y2Y,10y treasury minus 2 year constant maturity,
DGS2,2yr treasury c.m. rate,
T10Y3M,10y to 3m CM spread,
DGS10,10y treasury CM rate,
DGS3MO,3month T CM rate,
T10YIE,10year breakeven inflation rate,
DFII10,10y treasury inflation indexed security CM,
BAA10Y,Moody baa corp bond to 10y T CM,
T10YFF,10y T CM minus federal funds rate,
HQMCB10YR,10y high quality market corp bond spot rate,
DTWEXM,trade weighted usd index to major currencies,
GOLDAMGBD228NLBM,gold fixing price in London,
DCOILWTICO,crude oil west TX intermediate,
